id,host_response_rate,accommodates,bathrooms,beds,bedrooms,price,review_scores_rating,number_of_reviews,number_of_amenities,host_response_time_a few days or more,host_response_time_missing,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_is_superhost_t,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Aparthotel,property_type_Apartment,property_type_Barn,property_type_Bed and breakfast,property_type_Boat,property_type_Boutique hotel,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Cottage,property_type_Dome house,property_type_Guest suite,property_type_Guesthouse,property_type_Hostel,property_type_Hotel,property_type_House,property_type_Houseboat,property_type_Loft,property_type_Other,property_type_Serviced apartment,property_type_Tiny house,property_type_Townhouse,property_type_Villa,property_type_Yurt,instant_bookable_t,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period
136250,0.0,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.499809670330265,0.0,2.1972245773362196,18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142544,5.830390887760672,1.791759469228055,0.9162907318741551,1.6094379124341003,1.0986122886681098,5.442417710521793,1.6094379124341003,3.713572066704308,40,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
150527,5.830390887760672,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,4.499809670330265,0.0,1.791759469228055,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
151422,5.830390887760672,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.6913478822291435,0.0,2.0794415416798357,21,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151426,4.61512051684126,2.1972245773362196,1.3862943611198906,1.791759469228055,1.3862943611198906,5.442417710521793,1.6094379124341003,2.9444389791664403,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
155368,4.61512051684126,1.6094379124341003,0.9162907318741551,1.0986122886681098,1.0986122886681098,5.017279836814924,0.6931471805599453,5.517452896464707,28,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
169599,4.61512051684126,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,4.330733340286331,2.0794415416798357,5.209486152841421,29,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
184781,4.61512051684126,1.6094379124341003,1.0986122886681098,1.0986122886681098,0.6931471805599453,4.663439094112067,0.0,2.3978952727983707,23,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
191182,4.61512051684126,1.9459101490553132,1.3862943611198906,1.3862943611198906,1.3862943611198906,5.707110264748875,0.6931471805599453,3.9512437185814275,13,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
200696,5.830390887760672,1.0986122886681098,0.4054651081081644,0.6931471805599453,0.6931471805599453,4.02535169073515,1.9459101490553132,3.2188758248682006,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
